S_No,FirstName,LastName,Education,Job_Role,DeptID,Gender,MaritalStatus,YearlyIncome,MonthlyIncome,Sales,BusinessTravel,Department,hire_date
149,Kenroku,Malabarba,LifeSciences,LaboratoryTechnician,3,Male,Married,26856,2238,4923.6,Travel_Rarely,Research&Development,2006-02-12
150,Somnath,Foote,Medical,LaboratoryTechnician,3,Female,Single,17796,1483,3262.6,Travel_Rarely,Research&Development,2006-04-06
151,Xinglin,Eugenio,Medical,ResearchScientist,3,Female,Divorced,67260,5605,12331,Travel_Frequently,Research&Development,2007-06-21
152,Jungsoon,Syrzycki,Marketing,SalesExecutive,3,Male,Married,87540,7295,16049,Travel_Rarely,Sales,2008-01-13
153,Sudharsan,Flasterstein,Marketing,SalesRepresentative,3,Male,Married,27672,2306,5073.2,Travel_Rarely,Sales,2003-09-17
154,Kendra,Hofting,LifeSciences,LaboratoryTechnician,3,Male,Divorced,28176,2348,5165.6,Travel_Rarely,Research&Development,2004-02-17
155,Amabile,Gomatam,Marketing,SalesExecutive,3,Female,Single,107976,8998,19795.6,Travel_Frequently,Sales,2005-08-17
156,Valdiodio,Niizuma,TechnicalDegree,ManufacturingDirector,3,Male,Married,51828,4319,9501.8,Non-Travel,Research&Development,2002-06-07
157,Sailaja,Desikan,Medical,ManufacturingDirector,2,Male,Married,73584,6132,13490.4,Travel_Rarely,Research&Development,2002-06-07
158,Arumugam,Ossenbruggen,Medical,ResearchScientist,2,Female,Married,40152,3346,7361.2,Travel_Rarely,Research&Development,2002-06-07
159,Hilari,Morton,Marketing,SalesExecutive,2,Male,Married,130260,10855,23881,Travel_Rarely,Sales,2002-06-07
160,Jayson,Mandell,Marketing,SalesRepresentative,3,Female,Married,26772,2231,4908.2,Travel_Frequently,Sales,2003-06-17
161,Remzi,Waschkowski,Medical,ResearchScientist,3,Male,Married,27876,2323,5110.6,Travel_Rarely,Research&Development,2005-09-21
162,Sreekrishna,Servieres,Medical,ResearchScientist,3,Male,Divorced,24288,2024,4452.8,Non-Travel,Research&Development,2001-01-13
163,Valter,Sullins,Medical,ResearchScientist,3,Male,Married,32556,2713,5968.6,Travel_Rarely,Research&Development,2006-01-03
164,Hironobu,Haraldson,LifeSciences,HealthcareRepresentative,4,Male,Divorced,113268,9439,20765.8,Travel_Rarely,Research&Development,2007-05-21
165,Perla,Heyers,Medical,ResearchScientist,2,Male,Divorced,30792,2566,5645.2,Non-Travel,Research&Development,2005-06-25
166,Paraskevi,Luby,LifeSciences,Manager,3,Female,Single,239112,19926,43837.2,Travel_Rarely,Research&Development,2006-02-05
167,Akemi,Birch,LifeSciences,ResearchScientist,3,Male,Divorced,29412,2451,5392.2,Travel_Rarely,Research&Development,2007-02-07
168,Xinyu,Warwick,LifeSciences,SalesExecutive,3,Female,Married,113028,9419,20721.8,Travel_Rarely,Sales,2002-08-17
169,Hironoby,Piveteau,LifeSciences,SalesExecutive,2,Female,Single,104232,8686,19109.2,Travel_Rarely,Sales,2002-08-16
170,Eben,Aingworth,LifeSciences,ResearchScientist,3,Male,Single,36456,3038,6683.6,Travel_Rarely,Research&Development,2005-09-28
171,Dung,Baca,TechnicalDegree,ResearchScientist,3,Male,Married,36696,3058,6727.6,Travel_Rarely,Research&Development,2005-09-30
172,Lunjin,Giveon,TechnicalDegree,SalesRepresentative,1,Female,Single,27900,2325,5115,Travel_Frequently,Sales,2006-03-07
173,Mariusz,Prampolini,Medical,LaboratoryTechnician,3,Male,Single,25056,2088,4593.6,Travel_Frequently,Research&Development,2007-12-07
174,Xuejia,Ullian,Medical,LaboratoryTechnician,3,Male,Divorced,36864,3072,6758.4,Non-Travel,Research&Development,2002-12-07
175,Hugo,Rosis,LifeSciences,SalesExecutive,3,Female,Divorced,60072,5006,11013.2,Travel_Rarely,Sales,2003-05-18
176,Yuichiro,Swick,LifeSciences,ResearchScientist,3,Female,Divorced,51084,4257,9365.4,Travel_Rarely,Research&Development,2005-12-24
177,Jaewon,Syrzycki,LifeSciences,ResearchScientist,3,Male,Single,30000,2500,5500,Travel_Rarely,Research&Development,2005-07-24
178,Munir,Demeyer,LifeSciences,LaboratoryTechnician,2,Male,Single,13224,1102,2424.4,Travel_Rarely,Research&Development,2006-11-15
179,Chikara,Rissland,Marketing,SalesExecutive,3,Female,Divorced,125436,10453,22996.6,Travel_Rarely,Sales,2007-08-10
180,Dayanand,Czap,LifeSciences,LaboratoryTechnician,3,Female,Single,27456,2288,5033.6,Travel_Rarely,Research&Development,2004-07-18
181,Kiyotoshi,Blokdijk,Medical,ResearchScientist,3,Female,Married,47148,3929,8643.8,Travel_Rarely,Research&Development,2005-04-10
182,Zhonghui,Zyda,Medical,ResearchScientist,3,Female,Single,27732,2311,5084.2,Travel_Rarely,Research&Development,2003-05-01
183,Domenick,Peltason,Marketing,SalesRepresentative,3,Female,Single,37680,3140,6908,Travel_Rarely,Sales,2005-10-10
184,Armond,Fairtlough,Medical,LaboratoryTechnician,2,Male,Married,44280,3690,8118,Travel_Rarely,Research&Development,2007-11-16
185,Guoxiang,Ramsay,Medical,ManufacturingDirector,4,Female,Divorced,53400,4450,9790,Travel_Rarely,Research&Development,2005-07-16
186,Ohad,Esposito,Medical,ResearchScientist,3,Female,Married,33072,2756,6063.2,Travel_Rarely,Research&Development,2006-09-28
187,Hinrich,Randi,Medical,Manager,3,Female,Married,228396,19033,41872.6,Travel_Rarely,Research&Development,2007-01-14
188,Geraldo,Marwedel,Medical,ResearchDirector,4,Male,Single,224664,18722,41188.4,Travel_Rarely,Research&Development,2008-03-08
189,Syozo,Hiltgen,LifeSciences,ManufacturingDirector,2,Male,Married,114564,9547,21003.4,Travel_Frequently,Research&Development,2005-08-20
190,Kayoko,Valtorta,Medical,HealthcareRepresentative,3,Female,Single,164808,13734,30214.8,Travel_Rarely,Research&Development,2005-10-30
191,Subir,Baja,LifeSciences,Manager,2,Male,Married,239988,19999,43997.8,Travel_Rarely,Research&Development,2005-02-16
192,Babette,Lamba,Medical,ResearchScientist,3,Female,Single,27348,2279,5013.8,Travel_Rarely,Research&Development,2007-04-10
193,Armond,Peir,LifeSciences,ManufacturingDirector,2,Male,Married,70992,5916,13015.2,Travel_Rarely,Research&Development,2004-06-14
194,Nishit,Casperson,Medical,ResearchScientist,4,Male,Divorced,25068,2089,4595.8,Non-Travel,Research&Development,2006-08-26
195,Magdalena,Eldridge,Medical,Manager,2,Male,Married,201504,16792,36942.4,Non-Travel,Research&Development,2007-12-12
196,Ayakannu,Skrikant,LifeSciences,ResearchScientist,4,Male,Married,42768,3564,7840.8,Travel_Rarely,Research&Development,2008-02-06
197,Giri,Isaak,Medical,LaboratoryTechnician,3,Female,Single,53100,4425,9735,Travel_Frequently,Research&Development,2003-07-14
198,Diederik,Siprelle,Medical,ManufacturingDirector,3,Female,Divorced,63180,5265,11583,Non-Travel,Research&Development,2005-10-26
199,Nathan,Monkewich,LifeSciences,ManufacturingDirector,3,Male,Married,78636,6553,14416.6,Travel_Rarely,Research&Development,2006-02-12
200,Zissis,Pintelas,TechnicalDegree,ManufacturingDirector,3,Male,Married,75132,6261,13774.2,Travel_Rarely,Research&Development,2006-04-06
201,Maren,Hutton,TechnicalDegree,ManufacturingDirector,2,Male,Married,51576,4298,9455.6,Travel_Frequently,Research&Development,2007-06-21
202,Perry,Shimshoni,LifeSciences,ManufacturingDirector,3,Male,Divorced,81648,6804,14968.8,Non-Travel,Research&Development,2008-01-13
203,Ewing,Foong,Medical,ResearchScientist,3,Male,Divorced,45780,3815,8393,Travel_Frequently,Research&Development,2003-09-17
204,Yucel,Auria,Medical,LaboratoryTechnician,3,Male,Married,32892,2741,6030.2,Travel_Rarely,Research&Development,2004-02-17
205,Shahaf,Ishibashi,Medical,HealthcareRepresentative,3,Male,Married,80076,6673,14680.6,Travel_Rarely,Research&Development,2005-08-17
